Field,ID,Type (Type),default,en-us,en
Description,2,Text,"OneManByte - Markdown Viewer & Editor is a blazing-fast, elegant, and lightweight markdown desktop application built with Tauri v2, Svelte 5, and CodeMirror 6.

Designed as a high-performance, modern alternative to heavy Electron-based editors, OneManByte delivers near-instant startup (<1s), minimal memory usage (<100MB RAM), and ultra-responsive editing even with large, multi-thousand-line documents.

KEY HIGHLIGHTS:

⚡ Ultra-Fast & Responsive
Powered by Svelte 5 and modular CodeMirror 6, experience zero-lag typing, instant token parsing, and smooth editing.

🔀 Real-Time Synchronized Scrolling
Seamlessly edit markdown while viewing live rendered HTML. Proportional scroll sync keeps both editor and preview perfectly aligned.

🎨 Sleek Dark & Light Themes
Tailored dark slate and crisp light aesthetics featuring modern glassmorphic accents, clean typography, and customizable font sizes.

📊 Interactive Diagram Viewer (Mermaid)
Render complex flowcharts, sequence diagrams, class diagrams, and pie charts directly in your notes. Click any diagram to open a dedicated pan-and-zoom modal with up to 300% zoom and SVG/PNG copy features.

📐 KaTeX Mathematical Formulas
Full inline and display math formula rendering using high-precision KaTeX. Ideal for academic notes, technical specifications, and research papers.

📂 Workspace & Multi-Document Tabs
Open individual markdown files, recent files, or entire folders into an interactive sidebar tree. Manage multiple documents with tabs and unsaved change protection.

📑 Outline Table of Contents
Headings are automatically mapped into an interactive outline panel for instant document navigation.

📤 Multi-Format Export
Export rendered documents as standalone HTML (with embedded CSS), print to PDF, or copy rich HTML directly to your clipboard.

🔒 100% Offline-First & Private
Zero telemetry, no background analytics, and zero external CDN dependencies. All parsing and rendering execute locally on your device.","OneManByte - Markdown Viewer & Editor is a blazing-fast, elegant, and lightweight markdown desktop application built with Tauri v2, Svelte 5, and CodeMirror 6.

Designed as a high-performance, modern alternative to heavy Electron-based editors, OneManByte delivers near-instant startup (<1s), minimal memory usage (<100MB RAM), and ultra-responsive editing even with large, multi-thousand-line documents.

KEY HIGHLIGHTS:

⚡ Ultra-Fast & Responsive
Powered by Svelte 5 and modular CodeMirror 6, experience zero-lag typing, instant token parsing, and smooth editing.

🔀 Real-Time Synchronized Scrolling
Seamlessly edit markdown while viewing live rendered HTML. Proportional scroll sync keeps both editor and preview perfectly aligned.

🎨 Sleek Dark & Light Themes
Tailored dark slate and crisp light aesthetics featuring modern glassmorphic accents, clean typography, and customizable font sizes.

📊 Interactive Diagram Viewer (Mermaid)
Render complex flowcharts, sequence diagrams, class diagrams, and pie charts directly in your notes. Click any diagram to open a dedicated pan-and-zoom modal with up to 300% zoom and SVG/PNG copy features.

📐 KaTeX Mathematical Formulas
Full inline and display math formula rendering using high-precision KaTeX. Ideal for academic notes, technical specifications, and research papers.

📂 Workspace & Multi-Document Tabs
Open individual markdown files, recent files, or entire folders into an interactive sidebar tree. Manage multiple documents with tabs and unsaved change protection.

📑 Outline Table of Contents
Headings are automatically mapped into an interactive outline panel for instant document navigation.

📤 Multi-Format Export
Export rendered documents as standalone HTML (with embedded CSS), print to PDF, or copy rich HTML directly to your clipboard.

🔒 100% Offline-First & Private
Zero telemetry, no background analytics, and zero external CDN dependencies. All parsing and rendering execute locally on your device.","OneManByte - Markdown Viewer & Editor is a blazing-fast, elegant, and lightweight markdown desktop application built with Tauri v2, Svelte 5, and CodeMirror 6.

Designed as a high-performance, modern alternative to heavy Electron-based editors, OneManByte delivers near-instant startup (<1s), minimal memory usage (<100MB RAM), and ultra-responsive editing even with large, multi-thousand-line documents.

KEY HIGHLIGHTS:

⚡ Ultra-Fast & Responsive
Powered by Svelte 5 and modular CodeMirror 6, experience zero-lag typing, instant token parsing, and smooth editing.

🔀 Real-Time Synchronized Scrolling
Seamlessly edit markdown while viewing live rendered HTML. Proportional scroll sync keeps both editor and preview perfectly aligned.

🎨 Sleek Dark & Light Themes
Tailored dark slate and crisp light aesthetics featuring modern glassmorphic accents, clean typography, and customizable font sizes.

📊 Interactive Diagram Viewer (Mermaid)
Render complex flowcharts, sequence diagrams, class diagrams, and pie charts directly in your notes. Click any diagram to open a dedicated pan-and-zoom modal with up to 300% zoom and SVG/PNG copy features.

📐 KaTeX Mathematical Formulas
Full inline and display math formula rendering using high-precision KaTeX. Ideal for academic notes, technical specifications, and research papers.

📂 Workspace & Multi-Document Tabs
Open individual markdown files, recent files, or entire folders into an interactive sidebar tree. Manage multiple documents with tabs and unsaved change protection.

📑 Outline Table of Contents
Headings are automatically mapped into an interactive outline panel for instant document navigation.

📤 Multi-Format Export
Export rendered documents as standalone HTML (with embedded CSS), print to PDF, or copy rich HTML directly to your clipboard.

🔒 100% Offline-First & Private
Zero telemetry, no background analytics, and zero external CDN dependencies. All parsing and rendering execute locally on your device."
ReleaseNotes,3,Text,"Initial release 1.0.0 featuring real-time split view, live sync scroll, KaTeX math rendering, Mermaid diagram zoom modal, outline TOC, multi-tab workspace, and offline-first performance.","Initial release 1.0.0 featuring real-time split view, live sync scroll, KaTeX math rendering, Mermaid diagram zoom modal, outline TOC, multi-tab workspace, and offline-first performance.","Initial release 1.0.0 featuring real-time split view, live sync scroll, KaTeX math rendering, Mermaid diagram zoom modal, outline TOC, multi-tab workspace, and offline-first performance."
Title,4,Text,OneManByte - Markdown Viewer & Editor,OneManByte - Markdown Viewer & Editor,OneManByte - Markdown Viewer & Editor
ShortTitle,5,Text,OneManByte Markdown,OneManByte Markdown,OneManByte Markdown
SortTitle,6,Text,OneManByte Markdown,OneManByte Markdown,OneManByte Markdown
VoiceTitle,7,Text,OneManByte Markdown,OneManByte Markdown,OneManByte Markdown
ShortDescription,8,Text,"Lightning-fast, lightweight markdown viewer & editor with live preview, KaTeX math, Mermaid diagrams, and offline-first focus.","Lightning-fast, lightweight markdown viewer & editor with live preview, KaTeX math, Mermaid diagrams, and offline-first focus.","Lightning-fast, lightweight markdown viewer & editor with live preview, KaTeX math, Mermaid diagrams, and offline-first focus."
DevStudio,9,Text,OneManByte,OneManByte,OneManByte
CopyrightTrademarkInformation,12,Text,© 2026 OneManByte. All rights reserved.,© 2026 OneManByte. All rights reserved.,© 2026 OneManByte. All rights reserved.
AdditionalLicenseTerms,13,Text,MIT License (https://opensource.org/licenses/MIT),MIT License (https://opensource.org/licenses/MIT),MIT License (https://opensource.org/licenses/MIT)
